Identificadro,Alias,Tipo,Coste,Energia

1,Aqua Guard,ASGARDIANO,1100.0,800

2,Fire Brain,ASGARDIANO,1133.3333333333333,600

3,Wild X,HOMO_SUPERIOR,766.6666666666667,400

4,Ghost X,KREE,866.6666666666667,600

5,Captain Master,HOMO_SUPERIOR,800.0,500

6,Green Blade,HOMO_SUPERIOR,833.3333333333334,400

7,Ultra Master,HOMO_SUPERIOR,833.3333333333334,500

8,Galactic Machine,HOMO_SUPERIOR,600.0,400

9,Fire X,HOMO_SUPERIOR,666.6666666666666,200

0,Iron Blade,ASGARDIANO,1033.3333333333335,500
